mls,feed_status,ticket,dlm,state,brokerage_name,broker_name,agreement_type,feed_access_level,display_url,rules_link,logo_link,disclaimer,dlm_email,company_name,last_updated,new_date,ready_for_compliance,pending_cws,pending_broker,pending_mls,pending_compliance_mod,approved_provisioning,approved_complete
San Angelo Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 11:09am,7/29/2024,10/17/2024,,,10/21/2024,,11/1/2024,11/6/2024
San Angelo Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/30/2024 10:41am,7/31/2024,10/17/2024,,,10/18/2024,,10/21/2024,10/30/2024
San Antonio Board of REALTORS,Pending - Broker,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/18/2024 12:15pm,7/31/2024,9/11/2024,,9/18/2024,,,,
San Antonio Board of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 9:19am,7/29/2024,9/11/2024,,10/16/2024,10/9/2024,,10/18/2024,10/24/2024
San Juan County Board of REALTORS,Pending - Broker,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/8/2024 11:21am,7/29/2024,11/6/2024,11/6/2024,11/8/2024,,,,
San Juan County Board of REALTORS,Pending - Broker,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/8/2024 11:21am,7/31/2024,11/6/2024,11/6/2024,11/8/2024,,,,
Santa Fe Association of REALTORS,Approved - Complete,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 10:56am,7/29/2024,9/26/2024,,9/27/2024,,,10/4/2024,10/9/2024
Santa Fe Association of REALTORS,Approved - Complete,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:17am,7/31/2024,9/26/2024,,9/30/2024,,,10/7/2024,10/9/2024
Selkirk Association of REALTORS,Approved - Complete,ticketlink.com,B,ID,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:49am,7/29/2024,11/6/2024,,11/6/2024,11/7/2024,,11/7/2024,11/12/2024
Selkirk Association of REALTORS,Approved - Complete,ticketlink.com,B,ID,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/3/2024 11:33am,7/31/2024,11/6/2024,,11/6/2024,12/2/2024,,,12/3/2024
SmartMLS,Pending - Broker,ticketlink.com,A,CT,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 1:57pm,7/31/2024,9/11/2024,,9/25/2024,,,,
SmartMLS,Approved - Complete,ticketlink.com,A,CT,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 9:45am,7/30/2024,9/11/2024,,9/25/2024,11/7/2024,,11/7/2024,11/12/2024
South Central Wisconsin Multiple Listing Service,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:36am,7/30/2024,9/26/2024,,10/3/2024,10/4/2024,,10/14/2024,10/16/2024
South Central Wisconsin Multiple Listing Service,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:53am,7/31/2024,9/26/2024,,10/3/2024,10/4/2024,,10/14/2024,10/16/2024
South Jersey Shore Regional MLS,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 1:13pm,,,,,,,,8/20/2024
South Jersey Shore Regional MLS,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:26am,7/31/2024,8/27/2024,,8/30/2024,9/27/2024,,10/3/2024,10/9/2024
South Tahoe Association of REALTORS,Pending - MLS,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/26/2024 1:21pm,7/31/2024,9/26/2024,,,9/26/2024,,,
South Tahoe Association of REALTORS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:00am,7/29/2024,9/26/2024,,,9/26/2024,,9/30/2024,10/2/2024
Southern Indiana REALTORS Association,Approved - Complete,ticketlink.com,A,IN,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,8/22/2024,8/28/2024
Southern Indiana REALTORS Association,Approved - Complete,ticketlink.com,A,IN,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:46pm,7/31/2024,9/5/2024,,9/9/2024,,,9/11/2024,9/17/2024
Southern Missouri Regional MLS,Approved - Complete,ticketlink.com,B,MO,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/5/2024 5:40pm,,10/21/2024,,10/21/2024,,,10/28/2024,11/5/2024
Southern Missouri Regional MLS,Approved - Complete,ticketlink.com,B,MO,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:08am,,10/21/2024,,10/21/2024,,,10/29/2024,11/12/2024
Southern New Mexico MLS (Las Cruces Association of REALTORS),Approved - Complete,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 10:57am,7/30/2024,9/26/2024,,9/27/2024,10/4/2024,,10/7/2024,10/9/2024
Southern New Mexico MLS (Las Cruces Association of REALTORS),Approved - Complete,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:17am,7/31/2024,9/26/2024,,9/27/2024,,,10/7/2024,10/9/2024
Southwest Iowa Association of REALTORS,Cancelled,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 10:26am,7/29/2024,11/4/2024,,11/4/2024,11/4/2024,,,
Southwest Iowa Association of REALTORS,Cancelled,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 10:27am,7/31/2024,11/4/2024,,11/7/2024,,,,
Southwest MLS (Greater Albuquerque Association of REALTORS),Approved - Complete,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:56am,7/30/2024,9/26/2024,,9/26/2024,,,9/30/2024,10/2/2024
Southwest MLS (Greater Albuquerque Association of REALTORS),Approved - Complete,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:17am,7/31/2024,9/26/2024,,9/26/2024,,,9/30/2024,10/2/2024
Space Coast MLS (Space Coast Association of REALTORS),Pending - Broker,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/22/2024 11:46am,,,,8/22/2024,,,,
Space Coast MLS (Space Coast Association of REALTORS),Approved - Provisioning,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 12:51pm,,,,8/22/2024,12/9/2024,,12/12/2024,
Spokane Association of REALTORS,Approved - Complete,ticketlink.com,B,WA,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 10:31am,7/29/2024,10/21/2024,,10/21/2024,,,10/22/2024,10/24/2024
Spokane Association of REALTORS,Approved - Complete,ticketlink.com,B,WA,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/28/2024 5:18pm,7/31/2024,10/21/2024,,10/21/2024,,,10/22/2024,10/28/2024
Stellar MLS,Pending - Broker,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/6/2024 4:05pm,7/31/2024,9/5/2024,,9/6/2024,,,,
Stellar MLS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,8/26/2024,8/28/2024
Strategic MLS Alliance,Approved - Provisioning,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/3/2024 1:59pm,7/31/2024,9/11/2024,,10/28/2024,11/18/2024,,12/3/2024,
Strategic MLS Alliance,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 12:36pm,7/30/2024,9/11/2024,,10/28/2024,11/18/2024,,12/3/2024,12/12/2024
Strategic MLS Alliance,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 1:40pm,,12/2/2024,,12/3/2024,12/13/2024,,,12/13/2024
Sumter Board of REALTORS,Approved - Provisioning,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/28/2024 12:08pm,7/31/2024,10/17/2024,,,10/28/2024,,10/28/2024,
Sumter Board of REALTORS,Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:59am,7/29/2024,10/17/2024,,,10/28/2024,,10/28/2024,11/6/2024
Tehama County Association of REALTORS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 9:38am,7/29/2024,9/30/2024,,9/30/2024,10/16/2024,,11/11/2024,11/14/2024
Tehama County Association of REALTORS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:54am,7/31/2024,9/30/2024,,9/30/2024,,,11/11/2024,11/14/2024
TennesseeVirginia Regional MLS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:59am,7/29/2024,10/21/2024,,10/23/2024,,,10/28/2024,11/6/2024
TennesseeVirginia Regional MLS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 12:42pm,7/31/2024,10/21/2024,,10/23/2024,,,11/1/2024,11/18/2024
Texarkana Board of REALTORS,Approved - Provisioning,ticketlink.com,C,AR,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 4:13pm,7/29/2024,9/30/2024,,11/5/2024,12/10/2024,,12/13/2024,
Texarkana Board of REALTORS,Approved - Provisioning,ticketlink.com,C,AR,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 4:23pm,7/31/2024,9/30/2024,,11/5/2024,,,12/13/2024,
Thomasville Area Board of REALTORS,Approved - Provisioning,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/28/2024 11:58am,7/31/2024,10/17/2024,,,10/28/2024,,10/28/2024,
Thomasville Area Board of REALTORS,Approved - Complete,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:46am,7/29/2024,10/17/2024,,,10/28/2024,,10/28/2024,11/6/2024
Triad MLS,Cancelled,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/15/2024 12:47pm,7/29/2024,,,,,,,
Triad MLS,Cancelled,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/15/2024 12:47pm,7/31/2024,,,,,,,
Triangle MLS,Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:46am,7/29/2024,9/11/2024,,10/2/2024,,,10/28/2024,11/6/2024
Triangle MLS,Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 12:38pm,7/31/2024,9/11/2024,,10/2/2024,,,10/28/2024,11/18/2024
Tuolumne County Association of REALTORS,Pending - Broker,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:44am,,9/26/2024,,10/2/2024,,,,
Tuolumne County Association of REALTORS,Pending - Broker,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:47am,,9/26/2024,,10/2/2024,,,,
Unlock MLS (Austin Board of REALTORS),Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:59am,7/30/2024,9/11/2024,,9/11/2024,9/26/2024,,9/27/2024,10/2/2024
Unlock MLS (Austin Board of REALTORS),Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:16am,7/31/2024,9/11/2024,,9/11/2024,9/26/2024,,9/27/2024,10/2/2024
Upper Cumberland Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:58am,7/29/2024,10/2/2024,,10/23/2024,10/28/2024,,10/28/2024,11/6/2024
Upper Cumberland Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 9:35am,7/31/2024,10/28/2024,,,10/28/2024,,10/28/2024,11/18/2024
UtahRealEstate (Wasatch Front),Approved - Complete,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 11:12am,,,,,,,,8/20/2024
UtahRealEstate (Wasatch Front),Approved - Complete,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:25pm,7/31/2024,8/27/2024,,,,,9/11/2024,9/17/2024
ValleyMLS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 3:02pm,7/29/2024,9/11/2024,,9/23/2024,,,11/18/2024,11/18/2024
ValleyMLS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/19/2024 10:21am,7/31/2024,9/11/2024,,9/23/2024,,,11/18/2024,11/19/2024
VicksburgWarren County Board of REALTORS,Approved - Complete,ticketlink.com,C,MS,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 10:00am,7/29/2024,10/17/2024,,,10/25/2024,,11/1/2024,11/6/2024
VicksburgWarren County Board of REALTORS,Approved - Complete,ticketlink.com,C,MS,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 10:50am,7/31/2024,10/17/2024,,,10/25/2024,,11/1/2024,11/18/2024
Walker Area Association of REALTORS,Pending - Broker,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/15/2024 4:42pm,7/31/2024,9/11/2024,,10/15/2024,,,,
Walker Area Association of REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 12:36pm,7/30/2024,9/11/2024,12/6/2024,11/18/2024,,,12/11/2024,12/12/2024
Washington County Board of REALTORS (UT),Approved - Complete,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/20/2024 9:15am,7/29/2024,9/9/2024,,9/10/2024,,,9/19/2024,9/20/2024
Washington County Board of REALTORS (UT),Approved - Complete,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 2:11pm,7/31/2024,9/9/2024,,9/10/2024,9/18/2024,,9/18/2024,9/19/2024
Water Wonderland Board of REALTORS,New,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,,
Water Wonderland Board of REALTORS,Approved - Complete,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 5:04pm,7/29/2024,9/16/2024,,9/18/2024,9/18/2024,,9/18/2024,9/19/2024
West Alabama Multiple Listing Service,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/13/2024 10:37am,,,,8/23/2024,,,11/1/2024,11/13/2024
West Alabama Multiple Listing Service,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),VOW,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 1:20pm,7/31/2024,9/23/2024,,10/9/2024,,,11/18/2024,11/18/2024
West Penn MultiList,Approved - Complete,ticketlink.com,A,PA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:19am,7/29/2024,10/21/2024,,10/22/2024,,,10/24/2024,11/6/2024
West Penn MultiList,Approved - Complete,ticketlink.com,A,PA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/11/2024 5:51pm,7/31/2024,10/21/2024,,10/22/2024,,,10/24/2024,11/11/2024
Westcliffe MLS / RealtyPro Solutions,Cancelled,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 10:11am,,,,,,,,
Westcliffe MLS / RealtyPro Solutions,Cancelled,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,,11/6/2024 10:11am,,,,,,,,
Western Kentucky Regional MLS,Approved - Complete,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:26am,7/29/2024,9/26/2024,,9/26/2024,10/2/2024,,10/4/2024,10/9/2024
Western Kentucky Regional MLS,Approved - Complete,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:30am,7/31/2024,9/26/2024,,9/26/2024,10/2/2024,,10/4/2024,10/9/2024
Western Upstate Multiple Listing Service,Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:51am,7/30/2024,9/26/2024,,10/15/2024,,,10/28/2024,11/6/2024
Western Upstate Multiple Listing Service,Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 10:43am,7/31/2024,9/26/2024,,10/15/2024,,,11/6/2024,11/18/2024
Yuma Association of REALTORS,Pending - MLS,ticketlink.com,D,AZ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/8/2024 2:36pm,7/31/2024,9/26/2024,,9/30/2024,11/8/2024,,,
